Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p17:	4102	39892
p18:	3813	37762
p19:	5846	49386
p20:	6779	52851
p21:	4059	39730
p22:	4518	42652
p23:	1503	16730
p24:	9528	56026
p25:	8283	55845
p26:	2280	24637
p27:	2260	24675
p28:	2941	30727
p29:	7003	53385
p30:	5247	46540
p31:	10166	55745
p32:	3212	33462
p33:	8148	55415
p34:	8779	55588
p35:	8164	55379
p36:	7416	54098
p37:	4178	40541
p38:	7511	54242
p39:	4903	44962
p40:	6022	50045
p41:	8078	55063
p42:	6172	50520
p43:	4077	39821
p44:	4968	45116
p45:	4433	42005
p46:	1449	16296
p47:	1118	13022
p48:	6444	51147
p49:	3308	34294
Total Elapsed Time:	121150
Average Wait Time:	42135

SJF (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	1041	0
p1:	4370	56415
p2:	7599	161980
p3:	6209	107878
p4:	2383	11590
p5:	3247	22506
p6:	6302	113937
p7:	6388	120189
p8:	2430	13773
p9:	5084	79207
p10:	10659	255786
p11:	8339	209941
p12:	3357	28711
p13:	8139	177107
p14:	3568	31968
p15:	8983	226859
p16:	2139	241
p17:	4102	47335
p18:	3813	35336
p19:	5846	89038
p20:	6779	132371
p21:	4059	38999
p22:	4518	64168
p23:	1503	4597
p24:	9528	235392
p25:	8283	200958
p26:	2280	8210
p27:	2260	5900
p28:	2941	15203
p29:	7003	138700
p30:	5247	83241
p31:	10166	244570
p32:	3212	17944
p33:	8148	184246
p34:	8779	217130
p35:	8164	192294
p36:	7416	145353
p37:	4178	50437
p38:	7511	152669
p39:	4903	67836
p40:	6022	93834
p41:	8078	167629
p42:	6172	99756
p43:	4077	41958
p44:	4968	72489
p45:	4433	58585
p46:	1449	1998
p47:	1118	830
p48:	6444	124527
p49:	3308	23553
Total Elapsed Time:	267445
Average Wait Time:	93503

SJF (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	1041	0
p1:	4370	0
p2:	7599	0
p3:	6209	0
p4:	2383	6159
p5:	3247	8492
p6:	6302	27847
p7:	6388	29484
p8:	2430	7299
p9:	5084	21479
p10:	10659	60065
p11:	8339	49041
p12:	3357	10348
p13:	8139	40802
p14:	3568	10715
p15:	8983	52339
p16:	2139	241
p17:	4102	14133
p18:	3813	11089
p19:	5846	23038
p20:	6779	32185
p21:	4059	12387
p22:	4518	17282
p23:	1503	3270
p24:	9528	55125
p25:	8283	46792
p26:	2280	4623
p27:	2260	4397
p28:	2941	6607
p29:	7003	32999
p30:	5247	21400
p31:	10166	56380
p32:	3212	6603
p33:	8148	41988
p34:	8779	50086
p35:	8164	43175
p36:	7416	34422
p37:	4178	13952
p38:	7511	35514
p39:	4903	17135
p40:	6022	22948
p41:	8078	37914
p42:	6172	24913
p43:	4077	12155
p44:	4968	17780
p45:	4433	15246
p46:	1449	1998
p47:	1118	830
p48:	6444	28570
p49:	3308	7679
Total Elapsed Time:	71724
Average Wait Time:	21578

SRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	1041	0
p1:	4370	56415
p2:	7599	161980
p3:	6209	107878
p4:	2383	11590
p5:	3247	22506
p6:	6302	113937
p7:	6388	120189
p8:	2430	13773
p9:	5084	79207
p10:	10659	255786
p11:	8339	209941
p12:	3357	28711
p13:	8139	177107
p14:	3568	31968
p15:	8983	226859
p16:	2139	4311
p17:	4102	47335
p18:	3813	35336
p19:	5846	89038
p20:	6779	132371
p21:	4059	38999
p22:	4518	64168
p23:	1503	0
p24:	9528	235392
p25:	8283	200958
p26:	2280	8210
p27:	2260	5900
p28:	2941	15203
p29:	7003	138700
p30:	5247	83241
p31:	10166	244570
p32:	3212	17944
p33:	8148	184246
p34:	8779	217130
p35:	8164	192294
p36:	7416	145353
p37:	4178	50437
p38:	7511	152669
p39:	4903	67836
